fornamn,efternamn,parti,valkrets,riksdagsstatus,fodelsear,kon,hemort,person_url_xml,bild_url_80
Jörgen,Grubb,SD,Västra Götalands läns östra,Tjänstgörande riksdagsledamot,1962,man,,https://data.riksdagen.se/person/086bff3d-8adb-47c2-b5dc-86d4a9f1b191,https://data.riksdagen.se/filarkiv/bilder/ledamot/086bff3d-8adb-47c2-b5dc-86d4a9f1b191_80.jpg
Malin,Östh,V,Östergötlands län,Tjänstgörande riksdagsledamot,1972,kvinna,,https://data.riksdagen.se/person/213706b8-3269-48df-a5b5-8b9b466e2786,https://data.riksdagen.se/filarkiv/bilder/ledamot/213706b8-3269-48df-a5b5-8b9b466e2786_80.jpg
Cecilia,Rönn,L,Hallands län,Tjänstgörande riksdagsledamot,1980,kvinna,,https://data.riksdagen.se/person/5a57c315-9b8d-4ef6-bd2b-c26e53a6d3b7,https://data.riksdagen.se/filarkiv/bilder/ledamot/5a57c315-9b8d-4ef6-bd2b-c26e53a6d3b7_80.jpg
Anders,Ekegren,L,Stockholms kommun,Tjänstgörande statsrådsersättare,1957,man,,https://data.riksdagen.se/person/e471dfa7-4839-4dc3-8784-8af20ce8e403,https://data.riksdagen.se/filarkiv/bilder/ledamot/e471dfa7-4839-4dc3-8784-8af20ce8e403_80.jpg
Tomas,Kronståhl,S,Kalmar län,Tjänstgörande riksdagsledamot,1967,man,,https://data.riksdagen.se/person/173d7387-fa63-4689-ac8c-e12f278487bd,https://data.riksdagen.se/filarkiv/bilder/ledamot/173d7387-fa63-4689-ac8c-e12f278487bd_80.jpg
Mathias,Bengtsson,KD,Dalarnas län,Tjänstgörande riksdagsledamot,1998,man,,https://data.riksdagen.se/person/75d88062-5bda-4ead-9b9e-3f90184afa11,https://data.riksdagen.se/filarkiv/bilder/ledamot/75d88062-5bda-4ead-9b9e-3f90184afa11_80.jpg
Larry,Söder,KD,Hallands län,Tjänstgörande riksdagsledamot,1969,man,,https://data.riksdagen.se/person/e238e06a-acac-4fae-829c-1773ee851878,https://data.riksdagen.se/filarkiv/bilder/ledamot/e238e06a-acac-4fae-829c-1773ee851878_80.jpg
Teresa,Carvalho,S,Östergötlands län,Tjänstgörande riksdagsledamot,1984,kvinna,,https://data.riksdagen.se/person/3d764cf6-705b-460b-8226-df8f1226b27b,https://data.riksdagen.se/filarkiv/bilder/ledamot/3d764cf6-705b-460b-8226-df8f1226b27b_80.jpg
Magnus,Jacobsson,KD,Västra Götalands läns norra,Tjänstgörande riksdagsledamot,1968,man,,https://data.riksdagen.se/person/d7c3282f-83e4-11d4-ae60-0050040c9b55,https://data.riksdagen.se/filarkiv/bilder/ledamot/d7c3282f-83e4-11d4-ae60-0050040c9b55_80.jpg
Elin,Nilsson,L,Örebro län,Tjänstgörande riksdagsledamot,1982,kvinna,,https://data.riksdagen.se/person/f3d46888-d821-4678-b931-af170a932f3c,https://data.riksdagen.se/filarkiv/bilder/ledamot/f3d46888-d821-4678-b931-af170a932f3c_80.jpg
Johan,Löfstrand,S,Östergötlands län,Tjänstgörande riksdagsledamot,1976,man,,https://data.riksdagen.se/person/eaf0fa85-8858-4e0e-97d8-daee0a771d1f,https://data.riksdagen.se/filarkiv/bilder/ledamot/eaf0fa85-8858-4e0e-97d8-daee0a771d1f_80.jpg
Annika,Hirvonen,MP,Stockholms län,Tjänstgörande riksdagsledamot,1989,kvinna,,https://data.riksdagen.se/person/a9346ffe-2c1f-4e2b-b686-d8248a3d0db2,https://data.riksdagen.se/filarkiv/bilder/ledamot/a9346ffe-2c1f-4e2b-b686-d8248a3d0db2_80.jpg
Camilla,Hansén,MP,Örebro län,Tjänstgörande riksdagsledamot,1976,kvinna,,https://data.riksdagen.se/person/94f81deb-b316-4a83-8712-1e4d9f102ec2,https://data.riksdagen.se/filarkiv/bilder/ledamot/94f81deb-b316-4a83-8712-1e4d9f102ec2_80.jpg
Helén,Pettersson,S,Västerbottens län,Tjänstgörande riksdagsledamot,1972,kvinna,,https://data.riksdagen.se/person/13c0a836-8abf-453d-92d0-44d009c27f85,https://data.riksdagen.se/filarkiv/bilder/ledamot/13c0a836-8abf-453d-92d0-44d009c27f85_80.jpg
Jimmie,Åkesson,SD,Jönköpings län,Tjänstgörande riksdagsledamot,1979,man,,https://data.riksdagen.se/person/5ecb17ba-ebbe-4958-a142-a5134aff9808,https://data.riksdagen.se/filarkiv/bilder/ledamot/5ecb17ba-ebbe-4958-a142-a5134aff9808_80.jpg
Magdalena,Andersson,S,Stockholms län,Tjänstgörande riksdagsledamot,1967,kvinna,,https://data.riksdagen.se/person/dcc2ab7d-3fc1-4a28-b3c7-be1679c047b3,https://data.riksdagen.se/filarkiv/bilder/ledamot/dcc2ab7d-3fc1-4a28-b3c7-be1679c047b3_80.jpg
Mattias,Karlsson,M,Norrbottens län,Tjänstgörande riksdagsledamot,1972,man,Luleå,https://data.riksdagen.se/person/951f7039-b277-4696-ab49-7f0df0f39d1a,https://data.riksdagen.se/filarkiv/bilder/ledamot/951f7039-b277-4696-ab49-7f0df0f39d1a_80.jpg
Julia,Kronlid,SD,Stockholms län,Andre vice talman (tjänstgörande riksdagsledamot),1980,kvinna,,https://data.riksdagen.se/person/04727b66-64cd-4880-be85-dc8fe873bf8d,https://data.riksdagen.se/filarkiv/bilder/ledamot/04727b66-64cd-4880-be85-dc8fe873bf8d_80.jpg
Lena,Hallengren,S,Kalmar län,Tjänstgörande riksdagsledamot,1973,kvinna,,https://data.riksdagen.se/person/3c5cc43c-e4cd-11d6-ae81-0004755038ce,https://data.riksdagen.se/filarkiv/bilder/ledamot/3c5cc43c-e4cd-11d6-ae81-0004755038ce_80.jpg
Viktor,Wärnick,M,Gävleborgs län,Tjänstgörande riksdagsledamot,1991,man,,https://data.riksdagen.se/person/7cdc7712-4bb7-4361-8b72-8f98a111d0c5,https://data.riksdagen.se/filarkiv/bilder/ledamot/7cdc7712-4bb7-4361-8b72-8f98a111d0c5_80.jpg
Matilda,Ernkrans,S,Örebro län,Tjänstgörande riksdagsledamot,1973,kvinna,,https://data.riksdagen.se/person/8166bd73-bf10-4ef8-8e01-1975ca921c12,https://data.riksdagen.se/filarkiv/bilder/ledamot/8166bd73-bf10-4ef8-8e01-1975ca921c12_80.jpg
Mikael,Damberg,S,Stockholms län,Tjänstgörande riksdagsledamot,1971,man,,https://data.riksdagen.se/person/70b5dfce-7871-4e6e-b0bf-a0d482fa4c6b,https://data.riksdagen.se/filarkiv/bilder/ledamot/70b5dfce-7871-4e6e-b0bf-a0d482fa4c6b_80.jpg
Camilla,Brodin,KD,Stockholms kommun,Tjänstgörande riksdagsledamot,1979,kvinna,,https://data.riksdagen.se/person/86c365a5-452c-4bca-8871-45bf67a44645,https://data.riksdagen.se/filarkiv/bilder/ledamot/86c365a5-452c-4bca-8871-45bf67a44645_80.jpg
Henrik,Vinge,SD,Stockholms kommun,Tjänstgörande riksdagsledamot,1988,man,,https://data.riksdagen.se/person/1d7d8c9a-7879-4be3-8554-745991b615d2,https://data.riksdagen.se/filarkiv/bilder/ledamot/1d7d8c9a-7879-4be3-8554-745991b615d2_80.jpg
Niklas,Karlsson,S,Skåne läns västra,Tjänstgörande riksdagsledamot,1974,man,,https://data.riksdagen.se/person/b20fb574-b44c-42af-ae93-064dfabbffaf,https://data.riksdagen.se/filarkiv/bilder/ledamot/b20fb574-b44c-42af-ae93-064dfabbffaf_80.jpg
Aylin,Nouri,S,Västra Götalands läns västra,Tjänstgörande riksdagsledamot,1992,kvinna,,https://data.riksdagen.se/person/d6bcb84c-0102-4eca-b564-c21bd7cf1f4e,https://data.riksdagen.se/filarkiv/bilder/ledamot/d6bcb84c-0102-4eca-b564-c21bd7cf1f4e_80.jpg
Ardalan,Shekarabi,S,Uppsala län,Tjänstgörande riksdagsledamot,1978,man,,https://data.riksdagen.se/person/b2bb1d34-0f20-4daf-b26e-8916bb911075,https://data.riksdagen.se/filarkiv/bilder/ledamot/b2bb1d34-0f20-4daf-b26e-8916bb911075_80.jpg
Fredrik,Lundh Sammeli,S,Norrbottens län,Tjänstgörande riksdagsledamot,1977,man,,https://data.riksdagen.se/person/19d6281a-a1fc-4399-9631-89acf6420f42,https://data.riksdagen.se/filarkiv/bilder/ledamot/19d6281a-a1fc-4399-9631-89acf6420f42_80.jpg
Dennis,Dioukarev,SD,Göteborgs kommun,Tjänstgörande riksdagsledamot,1993,man,,https://data.riksdagen.se/person/13a59e93-95fe-45fb-b7b5-a76f8181cb4f,https://data.riksdagen.se/filarkiv/bilder/ledamot/13a59e93-95fe-45fb-b7b5-a76f8181cb4f_80.jpg
Daniel,Helldén,MP,Stockholms kommun,Tjänstgörande riksdagsledamot,1965,man,,https://data.riksdagen.se/person/164a2468-a56f-45a7-a8a1-5ab6af559e19,https://data.riksdagen.se/filarkiv/bilder/ledamot/164a2468-a56f-45a7-a8a1-5ab6af559e19_80.jpg
Nooshi,Dadgostar,V,Stockholms län,Tjänstgörande riksdagsledamot,1985,kvinna,,https://data.riksdagen.se/person/78d79a96-956f-4ac3-bbf7-2b15b3d86ce7,https://data.riksdagen.se/filarkiv/bilder/ledamot/78d79a96-956f-4ac3-bbf7-2b15b3d86ce7_80.jpg
Bo,Broman,SD,Skåne läns västra,Tjänstgörande riksdagsledamot,1969,man,,https://data.riksdagen.se/person/24c753af-11ea-4c6f-90f9-f4142fc71e19,https://data.riksdagen.se/filarkiv/bilder/ledamot/24c753af-11ea-4c6f-90f9-f4142fc71e19_80.jpg
Martin,Kinnunen,SD,Stockholms län,Tjänstgörande riksdagsledamot,1983,man,,https://data.riksdagen.se/person/57cbe134-829b-4fb8-9cc1-ce2f1cd02f3b,https://data.riksdagen.se/filarkiv/bilder/ledamot/57cbe134-829b-4fb8-9cc1-ce2f1cd02f3b_80.jpg
Mathias,Tegnér,S,Stockholms län,Tjänstgörande riksdagsledamot,1979,man,,https://data.riksdagen.se/person/2091e357-e195-430b-8dab-7e13732ffa41,https://data.riksdagen.se/filarkiv/bilder/ledamot/2091e357-e195-430b-8dab-7e13732ffa41_80.jpg
Mattias,Eriksson Falk,SD,Södermanlands län,Tjänstgörande riksdagsledamot,1990,man,,https://data.riksdagen.se/person/fc08ef89-9166-4a91-bf69-0bfb4effae05,https://data.riksdagen.se/filarkiv/bilder/ledamot/fc08ef89-9166-4a91-bf69-0bfb4effae05_80.jpg
Charlotte,Quensel,SD,Värmlands län,Tjänstgörande riksdagsledamot,1961,kvinna,,https://data.riksdagen.se/person/a4dcaec3-1333-46f3-a7df-632d40399505,https://data.riksdagen.se/filarkiv/bilder/ledamot/a4dcaec3-1333-46f3-a7df-632d40399505_80.jpg
Mikael,Dahlqvist,S,Värmlands län,Tjänstgörande riksdagsledamot,1967,man,,https://data.riksdagen.se/person/4db15792-072c-456e-a46c-6d0cee07889e,https://data.riksdagen.se/filarkiv/bilder/ledamot/4db15792-072c-456e-a46c-6d0cee07889e_80.jpg
Ingela,Nylund Watz,S,Stockholms län,Tjänstgörande riksdagsledamot,1962,kvinna,,https://data.riksdagen.se/person/9cd4ce1a-c1f5-4743-aed6-8e60569e9947,https://data.riksdagen.se/filarkiv/bilder/ledamot/9cd4ce1a-c1f5-4743-aed6-8e60569e9947_80.jpg
Johan,Büser,S,Göteborgs kommun,Tjänstgörande riksdagsledamot,1983,man,,https://data.riksdagen.se/person/90110ece-022e-4e0f-bb4e-f5102900fa9a,https://data.riksdagen.se/filarkiv/bilder/ledamot/90110ece-022e-4e0f-bb4e-f5102900fa9a_80.jpg
Carina,Ödebrink,S,Jönköpings län,Tjänstgörande riksdagsledamot,1961,kvinna,,https://data.riksdagen.se/person/10b75fcf-dbac-4fba-9773-7e8889c237b2,https://data.riksdagen.se/filarkiv/bilder/ledamot/10b75fcf-dbac-4fba-9773-7e8889c237b2_80.jpg
Kadir,Kasirga,S,Stockholms kommun,Tjänstgörande riksdagsledamot,1975,man,,https://data.riksdagen.se/person/81e7b3dd-c260-45d1-89a7-ddd6cbe6582d,https://data.riksdagen.se/filarkiv/bilder/ledamot/81e7b3dd-c260-45d1-89a7-ddd6cbe6582d_80.jpg
Edward,Riedl,M,Västerbottens län,Tjänstgörande riksdagsledamot,1976,man,,https://data.riksdagen.se/person/eaa4ca85-20f4-4375-8b76-61febbcf37f6,https://data.riksdagen.se/filarkiv/bilder/ledamot/eaa4ca85-20f4-4375-8b76-61febbcf37f6_80.jpg
Jessica,Rodén,S,Västra Götalands läns södra,Tjänstgörande riksdagsledamot,1976,kvinna,,https://data.riksdagen.se/person/86ae6051-9a2a-46a7-8a37-730918cdc428,https://data.riksdagen.se/filarkiv/bilder/ledamot/86ae6051-9a2a-46a7-8a37-730918cdc428_80.jpg
