CATEGORIES,LOCATION,UID,TRANSP,DTSTART,DTEND,CREATED,LAST-MODIFIED,SUMMARY,DESCRIPTION,COMMENT,XRDDATA,XRDREST,XRDSOURCEID,XRDDOKID,XRDDOKRELID,XRDDTSTARTSTATUS,XRDSOURCE,XRDRM,XRDSORT
"kammaren,frågestund,Frågestunder,kamm",Kammaren,RDHDC120260326fs,TRANSPARENT,20260326T140000,20260326T150000,20260318T134330,20260318T134330,Frågestund,"['', '\\nVid frågestunden svarar ministrarna i regeringen på frågor från riksdagsledamöterna direkt i kammaren.\\n\\n Frågor besvaras av: \\n\\nArbetsmarknadsminister och vikarierande klimat- och miljöminister Johan Britz (L)\\n\\nEnergi- och näringsminister Ebba Busch (KD)\\n\\nUtrikesminister Maria Malmer Stenergard (M)\\n\\nEU-minister Jessica Rosencrantz (M)\\n\\nArbetsmarknadsminister och vikarierande klimat- och miljöminister Johan Britz (L) besvarar såväl allmänpolitiska frågor som frågor inom sitt eget ansvarsområde.\\n\\nListan över ministrar som deltar är preliminär.\\n']",,;X-RD-TLISTA:;X-RD-FLISTA:,,9916b434-ff7d-4f21-92a5-7f93df302354,HDC120260326fs,,,Safir,2025/26,14:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260326ap,TRANSPARENT,20260326T120000,20260326T130000,20260318T134329,20260318T134329,Debatt om förslag,"['', '\\n\\n2025/26:SfU19 Skyndsamhet och preklusionsfrister vid överprövning av upphandling av fonder till premiepensionens fondtorg\\n\\n2025/26:SoU26 Ett språkkrav inom äldreomsorgen\\n\\n2025/26:SoU22 Kompetensförsörjning\\, e-hälsa och beredskap\\n\\n2025/26:UU7 Internationella relationer\\n\\n2025/26:FöU6 Integritetsskydd vid signalspaning i försvarsunderrättelseverksamhet\\n\\n2025/26:KrU6 Idrott\\, friluftsliv och spel\\n\\n2025/26:KrU7 Konstarter\\, språk och bibliotek\\n\\n']",,"dok_id{HD01SfU19,HD01SoU26,HD01SoU22,HD01UU7,HD01FöU6,HD01KrU6,HD01KrU7};X-RD-TLISTA:HD0J20260326;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-26,4c39a8e0-3197-4c5d-9de5-e60567de3611,HDC120260326ap,,,Safir,2025/26,12:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260325vo,TRANSPARENT,20260325T160000,20260325T170000,20260318T134331,20260318T134331,Beslut,"['', '\\n2025/26:UbU12 Högskolan\\n\\n2025/26:UbU13 Forskning\\n\\n2025/26:TU12 Luftfartsfrågor\\n\\n2025/26:TU13 Cykelfrågor\\n\\n2025/26:FiU25 Statlig förvaltning och statistikfrågor\\n\\n2025/26:FiU34 Offentlig upphandling\\n\\n2025/26:SoU20 Socialtjänstens ansvar för våldsutsatta m.m.\\n\\n2025/26:KrU8 Civila samhället\\, trossamfund och folkbildning\\n\\n2025/26:SkU20 Utbyte av uppgifter i tilläggsskatterapport och kompletteringar av förfarandet av tilläggsskatt för företag i stora koncerner\\n\\n2025/26:SkU11 Modernisering av Skatteverkets kontrollverktyg\\n\\n2025/26:SkU13 Inkomstskatt\\n\\n2025/26:SkU16 Punktskatt\\n\\n2025/26:JuU12 Våldsbrott och brottsoffer\\n\\n2025/26:FiU28 Riksrevisionens rapport om arbetsrättsliga villkor i offentlig upphandling\\n\\n2025/26:FiU35 Utlämnande av uppgifter ur registret över verkliga huvudmän\\n']",,"dok_id{HD01UbU12,HD01UbU13,HD01TU12,HD01TU13,HD01FiU25,HD01FiU34,HD01SoU20,HD01KrU8,HD01SkU20,HD01SkU11,HD01SkU13,HD01SkU16,HD01JuU12,HD01FiU28,HD01FiU35};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-25,b3c5fa9c-f1fb-48c7-9fcf-cbcced7ae1c8,HDC120260325vo,,,Safir,2025/26,16:00:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260325ap,TRANSPARENT,20260325T090000,20260325T100000,20260318T134331,20260318T134331,Debatt om förslag,"['', '\\n\\n2025/26:SoU20 Socialtjänstens ansvar för våldsutsatta m.m.\\n\\n2025/26:KrU8 Civila samhället\\, trossamfund och folkbildning\\n\\n2025/26:SkU20 Utbyte av uppgifter i tilläggsskatterapport och kompletteringar av förfarandet av tilläggsskatt för företag i stora koncerner\\n\\n2025/26:SkU11 Modernisering av Skatteverkets kontrollverktyg\\n\\n2025/26:SkU13 Inkomstskatt\\n\\n2025/26:SkU16 Punktskatt\\n\\n2025/26:JuU12 Våldsbrott och brottsoffer\\n\\n2025/26:FiU28 Riksrevisionens rapport om arbetsrättsliga villkor i offentlig upphandling\\n\\n2025/26:FiU35 Utlämnande av uppgifter ur registret över verkliga huvudmän\\n\\n']",,"dok_id{HD01SoU20,HD01KrU8,HD01SkU20,HD01SkU11,HD01SkU13,HD01SkU16,HD01JuU12,HD01FiU28,HD01FiU35};X-RD-TLISTA:HD0J20260325;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-25,9b6c7c14-8b07-4a71-af24-2ed1c31d5302,HDC120260325ap,,,Safir,2025/26,09:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260324ip,TRANSPARENT,20260324T130100,20260324T140100,20260317T162201,20260317T162201,Interpellationsdebatter,"['Ingen starttid', '\\n\\n2025/26:379 Omställningsstudiestöd som inte utnyttjas\\n\\n2025/26:334 Samordningsförbundens förutsättningar\\n\\n2025/26:384 Bemanningen i den svenska äldreomsorgen\\n\\n2025/26:385 Framtidens äldreomsorg\\n\\n2025/26:386 Äldres rättigheter och kvaliteten i äldreomsorgen\\n\\n']",,"dok_id{HD10379,HD10334,HD10384,HD10385,HD10386};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/interpellationsdebatt/2026-03-24,fbe666e8-a55a-47ad-b353-8c706a16f6ab,HDC120260324ip,,Ingen starttid,Safir,2025/26,13:01:00-1
"kammaren,återrapportering,Information från regeringen,kamm",Kammaren,RDHDC120260324ar,TRANSPARENT,20260324T130000,20260324T140000,20260317T162200,20260317T162200,Återrapportering från Europeiska rådets möte,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,,e7cf56e4-4ed5-4fab-9082-a99f848a3e6a,HDC120260324ar,,,Safir,2025/26,13:00:00-0
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260323ap,TRANSPARENT,20260323T110000,20260323T120000,20260317T095728,20260317T095728,Debatt om förslag,"['', '\\n\\n2025/26:UbU12 Högskolan\\n\\n2025/26:UbU13 Forskning\\n\\n2025/26:TU12 Luftfartsfrågor\\n\\n2025/26:TU13 Cykelfrågor\\n\\n2025/26:FiU25 Statlig förvaltning och statistikfrågor\\n\\n2025/26:FiU34 Offentlig upphandling\\n\\n']",,"dok_id{HD01UbU12,HD01UbU13,HD01TU12,HD01TU13,HD01FiU25,HD01FiU34};X-RD-TLISTA:HD0J20260323;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-23,2376a2c1-5c3c-4435-acc9-643e2a8ca144,HDC120260323ap,,,Safir,2025/26,11:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260320ip,TRANSPARENT,20260320T090000,20260320T100000,20260317T123217,20260317T123217,Interpellationsdebatter,"['', '\\n\\n2025/26:381 Stopp för tonårsutvisningar\\n\\n2025/26:361 Kulturarvet under vattenytan\\n\\n2025/26:348 Nattågstrafiken i norra Sverige\\n\\n2025/26:355 Regeringens uppdrag till Transportstyrelsen gällande färdtjänsten\\n\\n2025/26:367 Motorvägsbron i Södertälje\\n\\n2025/26:378 Ostlänken\\n\\n2025/26:374 Återuppbyggnad av Iran och stöd till civilsamhälle och demokratiska institutioner  \\n\\n2025/26:350 Undersökning om skolelevers attityder och syn på minoritetsgrupper\\n\\n2025/26:308 Bättre arbetsmiljö och patientsäkerhet inom hälso- och sjukvård\\n\\n2025/26:349 Arbetsmiljön i sjukvården \\n\\n2025/26:371 Välfärdsbrottslighet och lagen om valfrihetssystem\\n\\n']",,"dok_id{HD10381,HD10361,HD10348,HD10355,HD10367,HD10378,HD10374,HD10350,HD10308,HD10349,HD10371};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/interpellationsdebatt/2026-03-20,c5765669-3e09-4dae-89b8-244e5887cda0,HDC120260320ip,,,Safir,2025/26,09:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260319vo,TRANSPARENT,20260319T152000,20260319T162000,20260312T154218,20260312T154218,Beslut,"['', '\\n2025/26:TU10 Sjöfartsfrågor\\n\\n2025/26:SfU17 Ekonomisk familjepolitik\\n\\n2025/26:SfU10 Riksrevisionens rapport om socialförsäkringsskyddet vid internationell rörlighet\\n\\n2025/26:UU14 Folkrätt\\, inklusive mänskliga rättigheter\\n\\n2025/26:SkU33 Riksrevisionens rapport om Skatteverkets åtgärder mot svartarbete\\n']",,"dok_id{HD01TU10,HD01SfU17,HD01SfU10,HD01UU14,HD01SkU33};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-03-19,fb8fd652-04e8-4434-a01c-7b96c7f2a692,HDC120260319vo,,,Safir,2025/26,15:20:00-2
"kammaren,frågestund,Frågestunder,kamm",Kammaren,RDHDC120260319fs,TRANSPARENT,20260319T140000,20260319T150000,20260312T154218,20260312T154218,Frågestund,"['', '\\nVid frågestunden svarar ministrarna i regeringen på frågor från riksdagsledamöterna direkt i kammaren.\\n\\n Frågor besvaras av: \\n\\nFörsvarsminister Pål Jonson (M)\\n\\nMigrationsminister Johan Forssell (M)\\n\\nBistånds- och utrikeshandelsminister Benjamin Dousa (M)\\n\\nSjukvårdsminister Elisabet Lann (KD)\\n\\nFörsvarsminister Pål Jonson (M) besvarar såväl allmänpolitiska frågor som frågor inom sitt eget ansvarsområde.\\n\\nListan över ministrar som deltar är preliminär.\\n']",,;X-RD-TLISTA:;X-RD-FLISTA:,,0d22fe1b-2b95-4155-b61a-d09c45709c82,HDC120260319fs,,,Safir,2025/26,14:00:00-1
